No,학교명,본분교명,학교종류,학교유형,설립유형,지역명,"입학정원(학부)
(2025,명)","졸업생수(학부)
(2025,명)","전임교원수(학부+대학원)
(2025,명)","재학생(학부)
(2025,명)","신입생 경쟁률(학부)
(2025,:1)","신입생 충원율(학부)
(2025,%)","취업률(학부)
(2024,%)","외국인 학생 수(학부)
(2025,명)","전임교원 1인당 학생 수(학생정원기준)(학부+대학원)
(2025,명)","전임교원 확보율(학생정원기준)(학부+대학원)
(2025,%)","전임 교원 확보율(재학생 기준)(학부+대학원)
(2025,%)","전임교원 강의 담당 비율(학부)
(2025,%)","학생 1인당 연간 장학금(학부)
(2025,원)","연평균 등록금(학부)
(2025,천원)","학생 1인당 교육비(학부+대학원)
(2025,천원)","기숙사 수용율(학부+대학원)
(2024,%)","학생 1인당 도서 자료 수(학부+대학원)
(2024,권)"
38,경민대학교,본교,전문대학,전문대학,사립,경기,"1,470","1,424",115,"5,112",5.8,99.4,70.0,"1,067",31.31,66.47,47.13,55.0,"4,640,839.8","6,869.9","13,525.9",5.8,37.0
39,경복대학교,본교,전문대학,전문대학,사립,경기,"1,786","1,850",146,"6,253",9.3,97.7,80.6,910,37.27,55.51,47.87,51.8,"4,389,128.1","6,969.6","14,023.2",26.9,28.3
40,경북과학대학교,본교,전문대학,전문대학,사립,경북,667,666,51,"2,266",1.9,100.0,75.1,211,33.39,62.96,49.51,50.8,"4,673,558.8","5,750.3","11,945.1",32.3,51.8
41,경북대학교,본교,대학,대학교,국립,대구,"5,269","4,662","1,428","22,562",11.3,99.9,60.1,"1,660",19.95,97.53,91.57,59.3,"3,106,796.0","4,514.2","27,082.8",25.9,125.8
42,경북도립대학교,본교,전문대학,전문대학,공립,경북,0,330,0,358,0.0,0.0,73.8,0,0.0,0.0,0.0,35.9,"3,480,667.2","2,456.7","37,987.6",64.7,78.8
43,경북보건대학교,본교,전문대학,전문대학,사립,경북,356,343,43,"1,306",5.0,94.9,79.5,29,28.12,71.67,67.19,53.1,"4,123,311.4","5,602.9","14,064.0",54.4,33.7
44,경북전문대학교,본교,전문대학,전문대학,사립,경북,796,952,70,"2,605",3.7,81.2,81.5,21,29.67,70.0,56.45,57.4,"4,574,434.5","6,088.5","13,174.2",41.1,58.8
45,경상국립대학교,본교,대학,대학교,국립,경남,"4,452","2,848","1,050","16,424",6.9,100.0,52.1,335,20.59,98.49,105.87,69.4,"3,249,618.3","4,078.1","23,506.5",27.8,81.6
46,경성대학교,본교,대학,대학교,사립,부산,"2,765","2,529",363,"12,568",6.5,99.7,56.6,"1,966",34.12,64.13,59.51,63.2,"3,515,930.3","7,328.5","11,152.3",11.5,79.4
47,경운대학교,본교,대학,대학교,사립,경북,"1,184","1,268",163,"5,074",4.1,99.9,76.4,909,31.44,65.99,58.63,68.3,"5,191,755.2","8,093.2","14,282.2",33.5,99.8
48,경운대학교(산업대),본교,대학,산업대학,사립,경북,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,경인교육대학교,본교,대학,교육대학,국립,인천,526,0,134,"1,132",5.7,99.2,0.0,6,37.61,63.51,117.54,43.0,"2,410,891.8","3,492.9","14,205.9",40.5,161.3
50,경인교육대학교,제2캠퍼스,대학,교육대학,국립,경기,0,590,0,"1,161",0.0,0.0,62.0,0,0.0,0.0,0.0,58.3,"2,514,279.9",0.0,0.0,60.1,0.0
51,경인여자대학교,본교,전문대학,전문대학,사립,인천,"1,305","1,250",101,"3,623",7.5,96.6,68.7,428,34.89,60.61,59.17,48.3,"4,076,907.4","6,763.5","12,392.8",0.1,67.3
52,경일대학교,본교,대학,대학교,사립,경북,"1,521","1,502",238,"6,930",4.9,100.0,65.0,946,27.05,76.53,67.81,84.8,"4,693,208.6","7,753.8","13,587.4",24.1,76.8
53,경희대학교,본교,대학,대학교,사립,서울,"4,873","5,776","1,395","25,573",16.2,99.6,68.1,"3,535",20.69,94.51,76.99,57.7,"3,487,989.6","8,441.6","18,794.5",17.5,76.8
54,경희사이버대학교,본교,대학,사이버대학(대학),사립,서울,"3,000","3,221",50,"10,615",0.8,63.8,76.4,229,194.5,102.04,89.29,34.2,"1,705,183.0","2,914.4","3,966.3",0.0,3.6
55,계명대학교,본교,대학,대학교,사립,대구,"4,663","4,901",837,"20,491",7.2,100.0,56.3,"3,044",26.51,80.4,78.01,76.0,"4,286,875.7","8,079.0","15,278.7",13.6,91.5
56,계명문화대학교,본교,전문대학,전문대학,사립,대구,"2,018","1,791",110,"4,449",4.4,94.6,62.1,255,41.54,50.93,52.38,38.1,"5,091,336.9","6,309.4","15,105.9",9.0,48.3
57,계원예술대학교,본교,전문대학,전문대학,사립,경기,994,"1,083",74,"2,753",5.0,100.0,62.2,2,32.76,60.66,53.62,31.0,"3,835,362.6","8,044.8","13,371.9",0.0,47.4
58,고려대학교,본교,대학,대학교,사립,서울,"4,142","4,206","1,601","21,772",14.7,98.9,70.4,"4,471",19.33,110.41,96.91,54.3,"3,663,136.6","8,814.5","33,158.6",12.2,108.1
59,고려대학교(세종),분교,대학,대학교,사립,세종,"1,626","1,424",257,"6,714",8.6,100.0,63.6,596,26.99,80.82,69.46,61.3,"3,968,998.2","8,939.5","22,191.6",37.1,58.0
